word,frequency,example_sentence,reading,meaning,part_of_speech
ヒロゲル,7,まずは西に向かって町や砦を解放し解放軍の支配域を広げましょう。,,,
シュッパツ,7,あらためて騎士団領としての再出発だ最初は混乱も起きるかもしれないが。,,,
ハツ,7,一発で掘り出せないもんは珍しいもんに違いない。,,〚heart〛 〔食材としての心臓〕 animal hearts served on skewers in yakitori shops or grilled in Korean barbeque restaurants.,
イヤイヤ,7,いやいや感謝しますぞ。,,,
タイヨウ,7,貴方はフェブリス上空に輝く太陽のようなお方。,,,
ナイショ,7,私はコルニアから出稼ぎに来たの温泉が目当てだったのは内緒。,,,
ノボル,7,それでも、陽はまた昇り始めましたお姉様が彼を連れてきてくれたから。,,,
カンキョウ,7,「納品」で町を復興させると守備兵を配置できる環境が整います。,,,
オス,7,ユニット詳細についてを押すと「ユニット詳細」が開き、その場で編成を行うことができます。,,,
フルイ,7,ゼノイラ軍に加担するエルフには私の古い友人もいてね。,,,
メチャクチャ,7,ゼノイラの兵隊が町を滅茶苦茶にしたの。,,,
ヨウケン,7,ところで斯様な場所にどのようなご要件で。,,,
サカダイ,7,いつも酒代を求めて彷徨いておるがそういう裏情報には詳しい奴だ。,,,
ショウカイ,7,殿下彼が先刻紹介していた解放軍組織の一員、クライブです。,,,
ヒトイキ,7,心配事はまだ多いけれどこれで一息つけるわ。,,,
ヨゴス,7,でもエルヘイム開闢以来、この地がこれほど汚されたことはなかった。,,,
シルス,7,六つの聖所すべてを地図に記しておきました。,,,
トッパ,7,大聖堂を守るための門だ突破には困難を伴うだろう。,,,
ヌマチ,7,あたしはヤーナこの先にある沼地の里の魔女よ。,,,
ダンイン,7,俺は岩鼠団の元、団員だあんたに言いたいことはあるが。,,,
コウニュウ,7,ありがとうさっそく装備や道具を購入してみよう。,,,
フンイキ,7,おかしい魔法陣の雰囲気が変わりました。,,,
カサネル,7,殿下、重ねてお礼を申し上げるこの町の治安はお任せを。,,,
ヒトクチ,7,まだ一口くらいだろ酔いも回ってなさそうだし大丈夫だ。,,,
テダレ,7,砂漠には多くの盗賊団がいる手練れの元軍人や騎士崩れも多いぞ。,,,
シズム,7,ちょっとまずいかも日が沈んじゃった。,,,
キョウシャ,7,これで、お前は名実ともに強者20コルニアの王になったわけだ。,,,
ツナガル,7,解放軍時代、村を助けて回ったことが今に繋がっているのだと思います。,,,
ハダ,7,肌に触れるとこそばゆいでしょうそれが苦手なのです。,,,
ハナシカケル,7,あら、珍しいわねあなたから話しかけてくれるなんて。,,,
ゼングン,7,ご病気の教皇様に代わり私が全軍の指揮を執ることとなった。,,,
ジコク,6,ドラケンガルド軍に余剰兵力はない今は自国を守るのに精一杯だ。,,,
ウバ,6,私の乳母も宮殿の花園でたくさん花を育てていたわ。,,,
サキザキ,6,水架橋は先々代の巫女様の命で昔私たちが造ったものなの。,,,
ケンメイ,6,十分な戦力が整ってから戦いを挑むのが賢明でしょう。,,,
タイグン,6,敵はゼノイラ軍も組み込んだ大軍おまけに地の利も相手にあるが。,,,
リンゴク,6,隣国ドラケンガルドの要塞プリツトラーゼです。,,,
マズシイ,6,貧困をなくすための政策に力を入れ、数年後子供たちが貧しい思いをしない国が実現した。,,,
ハイジョ,6,やはり人間は信用ならない我々エルフ族以外は排除するべきだ。,,,
ヘヘヘ,6,へへへ、俺も貰ってくぜあんがとよ。,,,
チクショウ,6,畜生、この町の警備任務が無ければこの俺がやってやるんだがな。,,,
ホウガク,6,ライマンのいる本拠地はたしか西の方角だったよね。,,,
ムボウ,6,無謀にも思えたがやり遂げたかこの結果ならば充分といえよう。,,,
シタシイ,6,以後二人で野草を食べることはなく、町中で親しげに食事をしていたという。,,,
アガリ,6,反乱軍だとあの傭兵上がりはどうした。,,,
ショリ,6,戦後処理はお任せください民の安全は我々が守ります。,,,
シテイ,6,作戦の指定がないと、基本的には正面の敵ばかりを狙ってしまいます。,,,
ケントウ,6,アルビオンのビスファイン大聖堂に向かうことも検討しよう。,,,
ゴカイ,6,兵士殿、何かの誤解ですどうかご容赦ください。,,,
フクシュウ,6,復讐と怨嗟の声が大きく響くがねそんなものは所詮虚無だよ。,,,
オカ,6,そしてある日、腹に据えかねて一人で飛竜の棲む丘へ登ったんだ。,,,
ツツム,6,ベルトラン戦後は村々の復興を手伝い、それが落ちつくと先の戦で命を落としたすべての魂のためバストリアスの各地に慰霊碑を建てる毎年、終戦を記念する日には慰霊碑に多くの花束が手向けられその香りが国中を包んだという。,,,
シュッコウ,6,から船が出港する。,,,
ワッ,6,わっ見つかった。,,,
ツブス,6,そうしなければ潰されるからなだが、そうだな。,,,
コマカイ,6,荷物の細かい数まできっちり数えてくれて助かるよ。,,,
リンゴ,6,完熟蜜リンゴが完売しましたありがとうございました。,,,
イタミイル,6,種族の垣根を越えたご支援痛み入ります。,,,
コンナン,6,北方の雪山は年中吹雪で通行は困難です。,,,
ッコ,6,見つけたときに私はどうすればいい槍を向けるなんてできっこない。,,,
ミンシュウ,6,民衆には遠目に姿を見たという者もいるが。,,,
アタイ,6,こいつらを本国へ連れていけばきっといい値がつく。,,,
キッチリ,6,荷物の細かい数まできっちり数えてくれて助かるよ。,,,
オンガエシ,6,俺たちも恩返しがしたい何かあったらいつでも呼んでくれよ。,,,
ドウゼン,6,を制圧できればアルビオンを解放したも同然だ。,,,
トリカエス,6,ゼノイラ兵が減るのを待ちここを取り返したのです。,,,
カンソウ,6,本か感謝する、読んだあとは感想を話してもいいだろうか。,,,
カッコ,6,ゼノイラ軍を各個撃破していく希望が見えてきました。,,,
ヌゲル,6,顔で言えば私とてこの兜を脱げばい、いえ、家訓で兜は脱げないので。,,,
ユ,6,この地方には、地下から酸性高温のお湯が湧き出る間欠泉があります。,,,
ワナ,6,罠かもしれないここは自重しよう。,,,
フッカツ,6,やはり降伏は偽りで、エルヘイム復活のための大計だったんですね。,,,
タドリツク,6,異なる結末に辿り着くためにはまずはスカーレットを救出しガレリウスの真の狙いを探りましょう。,,,
ヒトガリ,6,ゼノイラの侵攻や獣人狩り正気を失った仲間たち。,,,
ケイジ,6,異なる結末に辿り着くためには聖所の賢人から受けた啓示に従いエルヘイムで指輪について調べましょう。,,,
ツラヌク,6,神樹に守られたエルフは不干渉を貫いていた。,,,
シンジン,6,ここはパレィア正教の国不信心者は立ち去りなさい。,,,
アクマデ,6,闘技場といっても殺し合いじゃないわあくまで模擬戦。,,,
チュウリュウ,6,城塞都市ラージョンにもゼノイラ軍が駐留しているみたい。,,,
アカルイ,6,ゼノイラの奴らがいなくなって皆の表情も明るくなった。,,,
マヂカ,6,リディエルはアレインの妃となり彼の執政を間近で支える。,,,
サイダイ,6,闘技場のあるバウムラッテはこの国で最大規模の町だ。,,,
ソレゾレ,6,それぞれ個性的な効果を持つようですいろいろ試してみてください。,,,
トンデモ,6,とんでもねえ女で敵無しだぜ。,,,
ショゾン,6,何が起きても対応できるよう研鑽を積み重ねる所存です。,,,
ヒヒ,6,闘技場については是々非々いろいろと意見が出ていますが。,,,
リント,6,いいわねその口上も凛とした立ち振る舞いも。,,〔包帯用布〕 lint.,
ヨセル,6,エルヘイムのはぐれ者が身を寄せて生きるのがこの町だ。,,,
ザイ,6,ドラシア材が30個もあれば復旧できると思うんだが。,,,
メンボク,6,面目ない警備兵なんだが町を守れなかった。,,,
テガミ,6,その手紙をもって妹さんと私の父を訪ねてください。,,,
ヒカエル,6,降伏しなさいアタシのあとにも部下が控えている。,,,
カッコク,6,聖所の場所は各国に一つコルニアには二つありますが。,,,
ムクイ,6,そんな神を恐れぬ輩がいます今に報いがあるでしょう。,,,
ハイケン,6,獣人の方はちょっと怖いと思っていましたが実際に拝見すると。,,,
ショウヒン,6,よく来た、ワシの見込んだ客人よさあじっくりと商品を見ていってくれ。,,,
アイダガラ,6,リア殿が共に腕を磨いた間柄でなければ、断っているところだ。,,,
ヒヒヒ,6,ヒヒヒ以前は世話になったなコルニアの王子様。,,,
クイモノ,6,ゼノイラ兵には資源や食い物をさんざっぱら搾り取られたものじゃ。,,,
イタズラ,6,お前のイタズラで世界の反対側にでも飛ばされたことにしよう。,,,
ヤド,6,おかげさまで教皇御用達の高級宿が再建されましたわ。,,,
ヒキワタス,6,スカーレットを引き渡してください。,,,
スッ,6,んどうすっかな。,,,
ホレ,6,一目惚れから始まった二人の愛は、生涯色褪せることはなかった。,,,
ジヒ,6,貴方たち人間の慈悲を私は決して忘れません。,,,
キヘイ,6,竜騎兵の部隊も損耗が激しい立て直しには時間がかかりそうだ。,,,
ハイスル,6,おや、貴公の軍も5人編成可能な部隊を配したようだな。,,,
シャベル,6,え、シャベルが無いってそれじゃ仕方ないね。,,〔園芸用などの〕 a trowel. [⇒ショベル],
シゴク,6,俺のような者にも気を遣っていただき恐悦至極に存じます。,,,
ユビ,6,心配には及びませんよ悪しき者には指一本触れさせません。,,,
トモドモ,6,俺って友達付き合いだけはいいんだよギャメルともどもよろしく頼んます。,,,
ソウソウ,6,そうそうに死んでくれるなよこの私テオドラを精々楽しませろ。,,,
ロウラン,6,この遍歴の騎士ローランが一匹残らず駆逐する。,,,
コウホウ,6,各騎士団、各兵団再編成が必要だが後方軍事参謀の生死も不明だ。,,,
シコウ,6,我が追い求めるのは力ある者との至高の戦い。,,,
コウチャ,6,自分で入れてみたんだけど紅茶ってあんま飲んだことなくて。,,,
キギ,6,翠色の樹々に水面に映える深緑。,,,
ワキマエル,6,我ら天使に仇なすなど言語道断身のほどをわきまえるがいい。,,,
シロモノ,6,これはなかなかの代物だアレイン、あとで茶会を開くぞ。,,,
センセン,6,アレインが戦線離脱状態から復帰しました。。,,,
カタミ,6,しかし親の形見のこの服だけは守り切ったのですよ。,,,
カルクチ,6,軽口をその余裕がいつまで続くか見ものね。,,,
ハリキル,6,い、いやまだまだ若いもんには負けとらんとつい張り切ってな。,,,
タケル,6,とにかく秩序を重んじる堅物だが武勇と統率力に長けてるって噂だぜ。,,,
ボットウ,6,城の一室で気ままな研究に没頭していたようだ。,,,
サンザン,6,採石場で散々こき使われてもう重労働はこりごりだよ。,,,
バンザイ,6,ゼノイラ万歳の次は解放軍万歳大人たちって大変だね。,,,
クツガエス,6,これなら戦況を覆すことも不可能ではないな。,,,
ユウカン,6,感謝します、勇敢な人の子よ。,,,
シロイ,6,おぅ、安心しろい町はちゃんと守ってやっからよ。,,,
ホンシン,6,はは最後のが本心だな。,,,
キトウ,6,大昔、祈祷師たちが雨乞いなんかに使った祈りの像ね。,,,
カッカ,6,コルニアの出である閣下もさぞかしおつらいのでは。,,,
ツキアイ,6,俺って友達付き合いだけはいいんだよギャメルともどもよろしく頼んます。,,,
ホドホド,6,まあ、程々に戦うさ。,,,
テキヘイ,6,私は捕らえたという敵兵の尋問をしてまいります。,,,
モトドオリ,6,そのおかげで港も元どおりの姿になりました。,,,
バツ,6,もし今口にしたことに相違があればどのような罰も受ける。,,,
ヒトデ,6,でも対反乱軍防衛任務が優先で人手を割くほどの余裕は無いわ。,,,
ケイソウ,6,この辺は長らくドラケンガルドとの係争地帯でな。,,,
アンテイ,6,この地域が安定したらまた来てくれよな。,,,
ス,6,殿下、本来の目的はフルスの攻略今撤退すれば敵はさらに防備を固める。,,,
セツゲン,6,バストリアス雪原。,,,
マトウ,6,ゼノイラ軍には遺跡から発掘された漆黒の鎧を纏った騎士がいるらしい。,,,
シュギョウ,6,私たちにとっては修行の場ですね。,,,
サッスル,6,ええ、ですが気配から察するにおそらく残るはあと一か所かと。,,,
ハックツ,6,ゼノイラ軍には遺跡から発掘された漆黒の鎧を纏った騎士がいるらしい。,,,
ゾウエン,6,くっ増援か戦闘は避けられそうにないな。,,,
ヒャク,6,感謝するぞお前たちがいれば百人力だ。,,,
ハジル,6,自分を恥じて姿を消したのだろう。,,,
オシエ,6,お前の手で秘密は暴かれ教皇様の教えは失われる。,,,
フシ,6,あ、皆さんその節はお世話になりました。,,,
ニチ,6,一緒に住んでるムーツン先生が何日も家に帰ってこなくて。,,,
エサ,6,喜ぶには早い、敵は我らを餌にして解放軍が来たら逆撃する腹だ。,,,
カンダイ,6,どうか寛大なご処置を。,,,
イット,6,バストリアスへ向かうのなら城塞都市ユークイットを北へ向かいましょう。,,,
ブンケン,6,それらが記された文献は船にあるあとは好きにするがいい。,,,
フヨウ,6,私もまたそれを信じればよかった策など最初から不要だった。,,,
トザス,6,すまない、門が閉ざされていてこの先へは行けそうにない。,,,
セマイ,6,俺はゼノイラ相手に商売してたからななんだか肩身が狭いや。,,,
センキョ,6,占拠時以上の物資は無い模様です。,,,
キアイ,6,気合を入れてまいりましょうそれでは起動します。,,,
フルマイ,6,ジョセフから指導者としての立ち居振る舞いは教わったけど。,,,
ニゲバ,6,逃げ場がなく疲弊しやすい気をつけて進軍してくれ。,,,
センダイ,6,先代の女王として、そして母としても貴方の活躍を誇りに思います。,,,
カンヨウ,6,途上の陣地を落とし確実に部隊を進めることが肝要かと。,,,
カンドウ,6,はじめて見た時は感動したよまた観に行きたいなあ。,,,
イッソウ,6,敵を一掃し周辺の安全を確保しました。,,,
シナン,6,アレイン殿下、戦いの前に作戦の指南をいたします。,,,
ジキジキ,6,それに、王直々の招待とあっては応じぬわけにはいかん。,,,
ケンザイ,6,その真面目すぎる謙虚さはいまだ健在なのだな。,,,
フクチョウ,6,俺は岩鼠団の副長だいや、元副長、だな。,,,
カンジャ,6,背後に敵だとまさか間者が紛れていたのか。,,,
キコク,6,貴国の未来に溢れんばかりの祝福があらんことを。,,,
ヨホド,6,よほど表には出ないんだなこれは先行き長そうだ。,,,
エヘ,6,えへへ、あたしで暖をとっていいよこのままあっためてあげる。,,,
イト,6,お前の使ってた槌の素材はおそらくコルサイトだな。,,,
カナシイ,6,悲しそうな顔するなよすべて失ったのはアレインも同じだろ。,,,
オウヒ,6,これからも王妃として、一番近くで貴方のお傍にいさせてください。,,,
カクシン,6,お前と共にゼノイラ軍を打ち倒したことで俺も確信を得た。,,,
ウスイ,6,メ、メリザンド様、本気ですか反乱軍の勝利の目は薄いのですぞ。,,,
アラタマル,6,本当に改まってなんだよ当然だろ。,,,
トキドキ,6,こんなことを言ってはいけないがときどき不安になる。,,,
カレン,6,こんなところで強く可憐に咲く花たちが。,,【化】 〔精油成分〕 carene.,化
ヤカタ,6,兄も病気になり領主様のお館にそこで死んだと聞かされました。,,,
サワギ,6,キトラ、今日はさすがに騒ぎを起こしていませんよね。,,,
キュウコン,6,えっそれって求婚。,,,
ロケン,6,正体が露見せぬよう気をつけなければな。,,,
ケツダン,6,貴方の決断で王の娘を救えたんじゃないか。,,,
ハテ,6,長きに渡る戦いの果てに。,,,
イカナル,6,いかなるものも形さえ残れば遺物へと変化してゆきます。,,,
カエリ,6,きっとお前の帰りを喜んでくれる解放軍での出来事でも話してやれ。,,,
チョウホウ,6,この政治的影響は小さくないきっと重宝してくれるわ。,,,
チュウコク,6,忠告はしたぞ。,,,
ユルメル,6,ふん、ちょろいもんだぜそのまま進軍の手を緩めるな。,,,
イサマシイ,6,剣を振りかぶる勇ましいアレインはもう当分見られないのかしら。,,,
ムコウ,6,向こうへ行け。,,,
センゾ,6,反乱軍よ、先祖伝来のワシの槍術とくと味わうがいい。,,,
ナカバ,6,グリフォンに近しい鳥という存在はなかば信仰対象でしたから。,,,
ヘタ,6,ヘタに手を近づけたら噛みつかれるかもしれない。,,,
コノム,6,騒がしいのは好まないが、お前の晴れ舞台の延長だと思えば悪くない。,,,
カチメ,6,ですが正教の導きなき者に勝ち目はないことを証明してみせましょう。,,,
ツレダス,6,一日くらいなら外に連れ出してやる。,,,
レーニス,6,レーニス様、危ないところでしたありがとうございます。,,,
ハゲム,6,僕も貴族の端くれです民のためにも勉学に励みます。,,,
フウズル,6,北の城門が封じられていますのでバストリアスから上陸をお願いします。,,,
ナンセイ,6,南西のアルビオンでも軍の動きが慌ただしいようだ。,,,
ハンギャク,6,行くぞ反逆者を殲滅せよ。,,,
サンドロ,6,そういえば、サンドロさんが何か言っていたような。,,,
デイリ,6,最近は兵士の出入りが多くて景気がいいんだ。,,,
オトリ,6,大将自ら囮になったのか。,,,
ディス,6,あぁあいつらは領主ジスランの手の者さ。,,,
コス,6,先を越されたか我らの加勢は一歩遅かったようだ。,,,
テガカリ,6,だが港の兵士が手がかりになるかもしれないな。,,,
クチル,6,ゼノイラ時代の教会の跡ですね中には一角獣の像が朽ちていました。,,,
ヨワル,6,この地では長いこと病が続いててな病になると日に日に弱って死んじまう。,,,
ギョクザ,6,世界を股にかけたお前が玉座でじっとなんかしていられるか。,,,
ジット,6,世界を股にかけたお前が玉座でじっとなんかしていられるか。,,,
フトコロ,6,あー寒い懐も寒いし酒すら飲めねぇぜ。,,,
シンシン,6,だが、初めから気張りすぎればいずれ心身に支障が出る。,,,
ショチ,6,応急処置はしておくわ戦いが終わったらすぐに診ましょう。,,,
テダスケ,6,まさか復興の手助けをしていただけるとは感謝いたします。,,,
サホウ,6,だからアレイン、俺にも作法ってやつを教えてくれよ。,,,
ヨウキュウ,6,だが連中の横暴な要求は日増しにひどくなり。,,,
センメツ,6,周辺の敵を殲滅しよう安全を確保するんだ。,,,
チセイ,6,ガレリウス様の治世になってから生活は苦しくなるばかり。,,,
タップリ,6,お前らも鼠族と侮るかこの力たっぷりと味あわせてやる。,,,
シガン,6,解放軍への参加者は確実に増えてるこの砦にも志願者がいるぜ。,,,
コウシン,6,品揃えを更新しておきましたまたよろしくお願いいたします。,,,
ユーグ,6,ユーク遺跡。,,,
ボウトク,6,国を乱すだけに飽き足らず死者まで冒涜するなんて。,,,
ショグウ,6,わかっている、彼女の処遇は話を聞いてからだ。,,,
イッシン,6,世の乱れを憂いて一心に祈りを捧げておられるのです。,,,
ゼンレツ,6,俺たちの長所は高い防御力だ前列に立って仲間を守ってみせる。,,,
テバナス,6,こんな状況でもゼノイラがここを手放さないのはそれが目当てだろう。,,,
ツイデ,6,ゼノイラ軍から物資を盗んだついでに捕まった獣人を解放してたんだと。,,,
ミリョク,6,歳をとった姿も私は魅力的で好きだったけど。,,,
ンッ,6,ん、アレインかどうしたんだ。,,,
コケ,6,コケーーッ。,,,
ショウモウ,6,確実に消耗させられるはずです私でよければ効果をお試しください。,,,
ヘンコウ,6,キャラの装備を変更する。,,,
ウィザード,6,俺ら「ウィザード」は攻撃時に魔法で炎の弾を三連続で放つ。,,【電算】 〔手順案内ソフト〕 a wizard.,電算
ダイダイ,6,そのため獣人の王たる獅子族が石を代々継承していました。,,,
ジンチ,6,殿下、ここは敵兵が少なく陣地構築が可能です。,,,
コリル,6,まったく懲りぬ奴じゃのうベレンガリア。,,,
カカリ,6,お父さんと一緒に行商してるの私は荷物の数をかぞえる係。,,,
サシノベル,6,うちの町にしてくれたようにどうか皆に手を差し伸べておくれ。,,,
エモノ,6,狙った獲物は逃さないおっと、カッコつけちまった。,,,
ヒキツグ,6,オクリース様の業務を引き継ぎました。,,,
シゾク,6,各地の氏族長たちから報告が来ている町や村の復興がずっと早く進んだと。,,,
ガンジョウ,6,おまけに頑丈そうな門番もいるしこりゃ当分近づけそうにないなぁ。,,,
ウイッチ,6,「ウィッチ」は18氷の魔弾で攻撃したり18味方の攻撃に魔力を付与できます。,,,
マチナカ,6,うう急に町中の大人たちが怖い目つきで戦いに出ていったんだ。,,,
タチムカウ,6,いいや、お前が立ち向かってこなくてよかったよ。,,,
イノチガケ,6,無力な女王が命懸けで守ったお前にどれほどの価値があるのか見てやろう。,,,
クレリック,6,は教会と縁があり「クレリック」が雇用できます。,,,
ホドリック,6,ホドリックか十年前叶わなかった貴様との戦いがようやく果たせるな。,,,
スサマジイ,6,先ほどの人たち凄まじい速さで攻め込んできました。,,,
キモ,6,それほど肝が据わっているということだ。,,,
オゴル,6,ちと我慢してくれや、あとで好きなだけ酒奢ってやるからよ。,,,
リダツ,6,アレインが戦線離脱状態から復帰しました。。,,,
シワザ,6,皆もう正気ではないなエルゴールの仕業か。,,,
サソウ,6,昂りを抑え、眠気を誘う効能がある坊やの口には苦いかもしれないけどね。,,,
ザイリョウ,6,傀儡の材料は文字どおり腐るほどできたでな。,,,
オギナウ,6,代償として攻撃力が不足しがちだが編成でそれを補うことができる。,,,
フッキュウ,6,港が復旧したら船が出せるんだがなぁ。,,,
ハンタイ,6,そこの二人の性格は正反対だが見ている分には面白い。,,,
ショウネン,6,ホードルのいた砦の地下から少年を保護しました。,,,
ジャクテン,6,魔法に弱い味方と組めば弱点が克服され、部隊が強力になるでしょう。,,,
ジコ,6,そういえば自己紹介がまだでしたね。,,,
カバネ,6,人間に降伏し、あまつさえ死した者は屍の兵として扱われた。,,,
ムクウ,6,これで散っていった者たちもきっと報われます。,,,
クッキー,6,1ゴートクッキーをあげる2あげない。,,*a ┏cookie [cooky]; ᐦa sweet biscuit.,
ロック,6,キングスロック砦を落とさなければならない。,ロック・インこうか,【金融】 〔凍結効果〕 a lock-in effect.,ロック・イン効果
オトロエル,6,だが、敵の勢いは依然衰えないなこのまま耐えきれるのか。,,,
オクレ,5,先の侵攻では後れを取ったが私たちで彼らを支えないとな。,,,
メイブツ,5,パランシペルトの宿はおいしいご飯が名物なの。,,,
ドウジョウ,5,同情するが蛮行を許すことはできない。,,,
キタエアゲル,5,あちらには聖騎士ジョセフがいます鍛え上げられたのでしょうな。,,,
タイリョウ,5,このオンパラストの町は、六年前に疫病によって大量の死者が出てる。,,,
ヒニク,5,これはもちろん皮肉だ。,,,
シュワン,5,相互不信の種を見事に蒔いてくれた人間の見事な手腕よ。,,＝シュヴァン.,
ケイカン,5,鶏冠のギース貴様まるで風見鶏だな。,,,
ソウジ,5,私、あの祭壇を毎日綺麗に掃除していたのよ。,,,
カイメツ,5,解放軍の皆さまが盗賊団を壊滅させたと聞きました。,,,
タテツク,5,まぁ今頃あんたに盾突く利点はねぇし安心して王政に努めてくだせぇ。,,,
ホクブ,5,ここより北部にゼノイラの残党が陣を敷いている。,,,
アイマ,5,政務の合間を縫ってもらう必要はあるが。,,,
ホウショウ,5,そりゃ報奨金も大事だが。,,,
シレイ,5,本当に立派だった、君があの軍の司令官でよかったと心から思う。,,,
ヌカス,5,だがベルトランって奴は今のままが平穏だと抜かしやがる。,,,
ナニゴト,5,何事だ。,,,
オゾマシイ,5,おぞましい死霊術師め。,,,
ハッセイ,5,砂漠ではよく砂嵐が発生してるよ視界が悪くなるから行くなら注意して。,,,
カンショウ,5,神樹に守られたエルフは不干渉を貫いていた。,,,
ステオク,5,大体の状況はわかった資源も病も共に捨て置けないな。,,,
コンバン,5,んなら善は急げだ作戦は今晩決行するぜ。,,,
ドウジ,5,同時に、人々の願いをも叶える素晴らしい人なのだと思います。,,,
ホードル,5,ウメルス聞いてホードルは私たちが倒したわ。,,,
パラスト,5,このオンパラスト領の領主は流行り病にびびって逃げてな。,,,
カンユウ,5,1勧誘する2処刑する。,,,
オンジン,5,恩人のお前がちゃんと慕われてると俺も安心だぜ。,,,
オモンズル,5,とにかく秩序を重んじる堅物だが武勇と統率力に長けてるって噂だぜ。,,,
カタブツ,5,とにかく秩序を重んじる堅物だが武勇と統率力に長けてるって噂だぜ。,,,
ヤンチャ,5,見ないうちに大きくなったものだなやんちゃだったお前が感慨深いぞ。,,,
カンシン,5,あぁ、我々は外の世界に無関心がすぎたのでしょう。,,,
イショウ,5,衣装も決めなきゃね、伝統的なのもいいけど斬新なものも捨てがたいわ。,,,
モチコタエル,5,雪花団のみんなが守ってるからしばらくは持ちこたえると思うけど。,,,
コンレイ,5,さてと戴冠式も終わったことですしアレイン、婚礼の儀はいつにする。,,,
オモイツメル,5,昔と違っていつも思い詰めた顔をしてるのが、悲しくて。,,,
コモル,5,地下に籠って研究ばかりしている男が反乱に参加してくるとはね。,,,
ルート,5,デバッグ用南ルートで開始しますか。,,"Root, Elihu (1845-1937; 米国の法律家・政治家).",
マッサキ,5,そう心配せずとも、今後は真っ先にあなたを頼りますよ。,,,
ミジン,5,ここがコルニアとの国境だった時は微塵も興味がなかったのに。,,,
アド,5,この城塞都市アドプティを貴様ら反乱軍に明け渡すつもりはない。,,1 〔広告〕 an ad; (an) advertisement.,
イツワ,5,スカーレットアレインの戴冠式を見届けるとパレィア島で一司祭として生きる道を選ぶ生涯にわたり、島唯一の聖堂で司祭として人々を導きつつ平和な世が続くことを祈り続けたたびたび行われた解放軍時代の仲間の逸話を織り交ぜた講話は島の子供たちに大いに喜ばれたそうだ。,,,
キンズル,5,確認が終わるまで町の出入りを禁ずる。,,,
シンセン,5,しかし他国の戴冠式など新鮮な体験でしたね。,,,
ギ,5,ええ、エルヘイムの接ぎの儀ともまったく違うもので美しかったです。,,,
シュウシュウ,5,収集した品を売却して軍費に回すアレイン様はそうはしませんでした。,,,
アクシュ,5,ニーナ終戦後、一度家族のもとへ戻った彼女に妹は喜び、両親は娘の無事に安堵した家族と和解したあとは、再び家を飛び出し仲間たちと世界各地で人助けに励むその姿は名家の出のお転婆騎士として有名になり行く先々で握手を求められたという。,,,
イノチゴイ,5,それにあとで命乞いをする相手にそのような態度でいいのか。,,,
クズス,5,兵たちよ、行きなさい態勢を崩した今が好機よ。,,,
ニクタイ,5,鼠族とは思えぬその肉体いかにしてそのような力を。,,,
ワカガエリ,5,それにしてもお前の若返りの魔術は見事ね。,,,
イナ,5,ならばその剣に問うとしよう王の器たる者か否か。,,,
カケガエ,5,あたしにとって大事なかけがえのない家族なんだよ。,,,
シソク,5,ご子息とも一緒に遊んだことがある。,,,
テアテ,5,大丈夫さ、ラモーナが手当てしてくれているから。,,,
メェェ,5,メェェ。,,,
シタシム,5,シャロン戦後はコルニアの教会へ戻り戦によって傷ついた人々を分け隔てなく癒した司祭として訪れた町々でも親しまれ付き添うオクリースとの仲睦まじい様子に入信を望む声が次々と上がったという後に教会には二人を象ったステンドグラスが作られたそうだ。,,,
スウコウ,5,反乱軍の捕虜は崇高な実験に利用してくれよう。,,,
カガヤク,5,貴方はフェブリス上空に輝く太陽のようなお方。,,,
テハイ,5,それでは天のかけらを集めてくれ私は引き継ぎの手配をしておこう。,,,
テンセイ,5,人を人ならざる者とする転生の力をも秘めていると。,,,
ミギウデ,5,アレインは王様になって晴れて俺もお前の右腕ってわけだ。,,,
ハレル,5,くく、野草食ってたお前が晴れて王様になったってわけか。,,,
バンコウ,5,ゼノイラに与する者の蛮行をこれ以上放っておけません。,,,
トカス,5,フォドキア解放軍で役目を終えたあと自領の復興に努めた領民との溝から目を逸らすことなく一つずつ丁寧に職務に臨む姿勢が領民たちの心を解かし、和解に至った以来、彼の愛息の墓前には献花が絶えることがなかったという。,,,
アライ,5,な、なんだこいつだけ気性が荒いぞ。,,,
センドウ,5,ところが、ゴービルという若造が仲間を戦いに扇動しようとしている。,,,
プチ,5,この城塞都市アドプティを貴様ら反乱軍に明け渡すつもりはない。,,,
アルイハ,5,ウメルスが本意で戦っていないなら先に事情を調べればあるいは。,,,
キショウ,5,な、なんだこいつだけ気性が荒いぞ。,,,
カカエコム,5,それに、すぐに一人で抱え込むお前のことも気がかりだったからな。,,,
テンバツ,5,忌々しい盗人どもめ今に天罰が下るぞ。,,,
ヒガン,5,氏族は違えど祖国の復興は皆の悲願だ。,,,
ヤミ,5,お前たちの死を無駄にはしない祖国の闇は私が振り払う。,,,
キマリ,5,そんな決まりはないからでもそうだな、俺もやってみるよ。,,,
タイド,5,それにあとで命乞いをする相手にそのような態度でいいのか。,,【商標】 〔米国製の合成洗剤〕 Tide.,商標
コウセン,5,かつてゼノイラが我が国を蹂躙した時私は徹底的に抗戦し。,,,
センケツ,5,まずはレーニスの仲間の救出が先決だ、急ごう。,,,
