sentence,cleaned_sentence
…胸が躍りますね…。,胸が躍りますね。
…ようやく 帰ってこられたのだな。,ようやく帰ってこられたのだな。
私との約束を叶えてくれて ありがとう、アレイン。,私との約束を叶えてくれてありがとう、アレイン。
お前が傍にいてくれたから… 私は戦い続けることができた。,お前が傍にいてくれたから私は戦い続けることができた。
…といっても、私たちの戦いは これからも続いていくか。,といっても、私たちの戦いはこれからも続いていくか。
勝利の余韻に浸り、明日からは 国のため力を尽くしていかねばな。,勝利の余韻に浸り、明日からは国のため力を尽くしていかねばな。
フッ…だが、たまにはあの庭園で 遊ぶことも忘れるなよ。,フッだが、たまにはあの庭園で遊ぶことも忘れるなよ。
アレイン 立派に戴冠式をやり遂げたな。,アレイン立派に戴冠式をやり遂げたな。
お前の正装した姿は これまで何度か見たことがあるが…。,お前の正装した姿はこれまで何度か見たことがあるが。
今までで一番威厳があって 背中も大きく見えたぞ。,今までで一番威厳があって背中も大きく見えたぞ。
お前は紛うことなき… コルニアにふさわしい王だ。,お前は紛うことなきコルニアにふさわしい王だ。
…共にこの故郷に、城に帰れたこと 心の底から嬉しく思う。,共にこの故郷に、城に帰れたこと心の底から嬉しく思う。
ありがとう、アレイン。,ありがとう、アレイン。
リア、なぜ私が人と会話している間 距離を置くのだ。,リア、なぜ私が人と会話している間距離を置くのだ。
それは…ご歓談を 邪魔してはいけませんから。,それはご歓談を邪魔してはいけませんから。
何を言う…皆、お前にとっても 共に戦った戦友だろう。,何を言う皆、お前にとっても共に戦った戦友だろう。
リアも会話に入れ、皆 お前とも話したがっているのだぞ。,リアも会話に入れ、皆お前とも話したがっているのだぞ。
…では…お言葉に甘えて。,ではお言葉に甘えて。
お気遣いありがとうございます ヴァージニア様。,お気遣いありがとうございますァージニア様。
アレイン様 もしよろしければ…なのですが。,アレイン様もしよろしければなのですが。
今夜、お城から外を眺めながら 二人でお話がしたいです。,今夜、お城から外を眺めながら二人でお話がしたいです。
軍にいたころ、眠れない夜に 何度も語り明かしたように…。,軍にいたころ、眠れない夜に何度も語り明かしたように。
…未来を共にしていく大地を 見ながら、話がしたいのです。,未来を共にしていく大地を見ながら、話がしたいのです。
これからはここが私の 居場所なのだと…感じたくて。,これからはここが私の居場所なのだと感じたくて。
…ありがとうございます 楽しみにしておりますね。,ありがとうございます楽しみにしておりますね。
アレイン様 この度はご即位おめでとうございます。,アレイン様この度はご即位おめでとうございます。
長きに渡る戦いの果てに…。,長きに渡る戦いの果てに。
いえ、ここからが新たな始まり… なのでしょうか。,いえ、ここからが新たな始まりなのでしょうか。
…ここはドラケンガルドの使者として 言葉を述べるべきかとは思いますが。,ここはドラケンガルドの使者として言葉を述べるべきかとは思いますが。
私個人として…アレイン様に 感謝の言葉を述べさせてください。,私個人としてアレイン様に感謝の言葉を述べさせてください。
貴方のおかげで…我が国も、私も 幾度となく救われました。,貴方のおかげで我が国も、私も幾度となく救われました。
ありがとうございます、アレイン様。,ありがとうございます、アレイン様。
アラミス様もいらしていたのですね。,アラミス様もいらしていたのですね。
アレインの晴れ舞台だ よそで放浪しているわけにもいくまい。,アレインの晴れ舞台だよそで放浪しているわけにもいくまい。
だが…各国の要人も集う機会だ。,だが各国の要人も集う機会だ。
正体が露見せぬよう 気をつけなければな。,正体が露見せぬよう気をつけなければな。
…危ない時は 私も助太刀いたします。,危ない時は私も助太刀いたします。
ですから、安心して皆様と お話になってください。,ですから、安心して皆様とお話になってください。
リア殿…感謝する ありがたく世話になろう。,リア殿感謝するありがたく世話になろう。
コルニアでは闘技場などを開く ご予定はないのでしょうか。,コルニアでは闘技場などを開くご予定はないのでしょうか。
友好国にも施設があれば、国を越えて 競い合う催しができるのではと…。,友好国にも施設があれば、国を越えて競い合う催しができるのではと。
…各地の復興もまだまだだというのに 気が早いでしょうか。,各地の復興もまだまだだというのに気が早いでしょうか。
ですが、先のことを考えられるように なったのが…私は嬉しいです。,ですが、先のことを考えられるようになったのが私は嬉しいです。
アレインさまが王様になる国… ちょっと羨ましいです。,アレインさまが王様になる国ちょっと羨ましいです。
あっ…！その 故郷と比べるわけではないんですが。,あっその故郷と比べるわけではないんですが。
世界を救ったあなたが王様なら…。,世界を救ったあなたが王様なら。
その国の人はみんな幸せになるって 約束されたようなものですから。,その国の人はみんな幸せになるって約束されたようなものですから。
それにしても… なんだかドキドキしてしまうんです…。,それにしてもなんだかドキドキしてしまうんです。
王さまになった アレインさまと話すと…その…。,王さまになったアレインさまと話すとその。
私、失礼なことをしていないか…とか 周りから無礼と思われてないか…とか。,私、失礼なことをしていないかとか周りから無礼と思われてないかとか。
そういったことが気になって…！ うう…身の程をわきまえなければ…。,そういったことが気になってうう身の程をわきまえなければ。
でも…アレインさまと話すと楽しくて すぐに忘れてしまうんですよね…。,でもアレインさまと話すと楽しくてすぐに忘れてしまうんですよね。
私は…あの戦いですべてを失ってから 誇れるものが何もなかった。,私はあの戦いですべてを失ってから誇れるものが何もなかった。
別人になってでも生にしがみつき 圧政に抗うことしかできなかった。,別人になってでも生にしがみつき圧政に抗うことしかできなかった。
だが…今はこう思う。,だが今はこう思う。
君の信頼を獲得したこと… 君と契約し、巨悪を打ち倒したこと。,君の信頼を獲得したこと君と契約し、巨悪を打ち倒したこと。
これは紛れもなく 私が誇れることだとね。,これは紛れもなく私が誇れることだとね。
君は私に生きる意義をくれた… 感謝している。,君は私に生きる意義をくれた感謝している。
即位おめでとう、アレイン。,即位おめでとう、アレイン。
君のこれからの活躍も 陰から見守らせてもらおう。,君のこれからの活躍も陰から見守らせてもらおう。
戴冠式まで見届けられてよかった。,戴冠式まで見届けられてよかった。
君ならきっとコルニアをよき未来へ 導いていけるだろう。,君ならきっとコルニアをよき未来へ導いていけるだろう。
…君が王に至るまでの道 その一端を担えたこと、光栄だ。,君が王に至るまでの道その一端を担えたこと、光栄だ。
これから先も、陰ながら 応援させてもらおう…アレイン。,これから先も、陰ながら応援させてもらおうアレイン。
とは言ったものの…私ももう 君を他人とは思えない。,とは言ったものの私ももう君を他人とは思えない。
陰から君の活躍を 祈るだけでは物足りん。,陰から君の活躍を祈るだけでは物足りん。
…政務の合間を 縫ってもらう必要はあるが。,政務の合間を縫ってもらう必要はあるが。
時折 顔を合わせられたらと思っている。,時折顔を合わせられたらと思っている。
無論友として、な。,無論友として、な。
アレイン… お前はやる男だって信じてたぜ。,アレインお前はやる男だって信じてたぜ。
例え駄目でも、奈落の底まで 付き合うつもりだったがよ…。,例え駄目でも、奈落の底まで付き合うつもりだったがよ。
さすが俺が惚れこんだ男だ。,さすが俺が惚れこんだ男だ。
…盗賊団の頭領なんか やってた俺によ。,盗賊団の頭領なんかやってた俺によ。
あそこまで親身になってくれる 王子なんか他にいねえだろうな。,あそこまで親身になってくれる王子なんか他にいねえだろうな。
きっとここはいい国になる… お前が王様なら、間違いねえよ。,きっとここはいい国になるお前が王様なら、間違いねえよ。
よぉアレイン いい戴冠式だったな。,よぉアレインいい戴冠式だったな。
俺にとっても一生の宝になった 上等な一日だったぜ。,俺にとっても一生の宝になった上等な一日だったぜ。
…今日だけじゃねえな 軍でお前と駆け抜けた日々もだ。,今日だけじゃねえな軍でお前と駆け抜けた日々もだ。
俺みたいなやつを最後まで 頼ってくれてありがとよ。,俺みたいなやつを最後まで頼ってくれてありがとよ。
お前の力になれてたら嬉しいぜ。,お前の力になれてたら嬉しいぜ。
戦いが終わっても やることは山積みだ…。,戦いが終わってもやることは山積みだ。
オーバン、これからも世話になるが あらためてよろしく頼むぜ。,オーバン、これからも世話になるがあらためてよろしく頼むぜ。
本当に改まってなんだよ… 当然だろ。,本当に改まってなんだよ当然だろ。
俺とお前の仲だからな 遠慮なんかすんじゃねえぞ。,俺とお前の仲だからな遠慮なんかすんじゃねえぞ。
ダンナァ、指輪の力を使った今 契約の呪いてのはまだ有効なんです？。,ダンナァ、指輪の力を使った今契約の呪いてのはまだ有効なんです。
や、裏切ろうってわけじゃないですよ 俺は情に厚い男ですからね。,や、裏切ろうってわけじゃないですよ俺は情に厚い男ですからね。
わかりきった嘘をつくなって？ ははは、そりゃごもっとも。,わかりきった嘘をつくなってははは、そりゃごもっとも。
まぁ今頃あんたに盾突く利点はねぇし 安心して王政に努めてくだせぇ。,まぁ今頃あんたに盾突く利点はねぇし安心して王政に努めてくだせぇ。
何より王になったからには金払いが… へへ…今までの分、期待してますよ。,何より王になったからには金払いがへへ今までの分、期待してますよ。
いやぁ 俺の目も存外、侮れないな。,いやぁ俺の目も存外、侮れないな。
まさか、城門をくぐる日が来るとは 思わなかったぜ。,まさか、城門をくぐる日が来るとは思わなかったぜ。
あとは…金だ アレインのダンナ！期待してるぜ！。,あとは金だアレインのダンナ期待してるぜ。
なーんて… そんな目で見ないでくださいよ。,なーんてそんな目で見ないでくださいよ。
そりゃ報奨金も大事だが…。,そりゃ報奨金も大事だが。
アレインのダンナはその金で 国をよくしていかなきゃならねえ。,アレインのダンナはその金で国をよくしていかなきゃならねえ。
俺はそっちも期待してますんで… よろしくお願いしますよ、王様。,俺はそっちも期待してますんでよろしくお願いしますよ、王様。
こんなにも賑やかな光景を見たのは いつぶりか…。,こんなにも賑やかな光景を見たのはいつぶりか。
騒がしいのは好まないが、お前の 晴れ舞台の延長だと思えば悪くない。,騒がしいのは好まないが、お前の晴れ舞台の延長だと思えば悪くない。
アレイン…儀式の時 私が言ったことは覚えているな。,アレイン儀式の時私が言ったことは覚えているな。
お前は今でも甘い、が…その 優しさと信念で世界を救ってみせた。,お前は今でも甘い、がその優しさと信念で世界を救ってみせた。
きっとこの先も 民に慕われながら上手くやるだろう。,きっとこの先も民に慕われながら上手くやるだろう。
…助けが必要な時は言え 何があろうとすぐに駆けつけてやる。,助けが必要な時は言え何があろうとすぐに駆けつけてやる。
アレイン 王になった気分はどうだ？。,アレイン王になった気分はどうだ。
お前は世界を救った英雄だからな… 周りの期待は軽いものではないだろう。,お前は世界を救った英雄だからな周りの期待は軽いものではないだろう。
だが、初めから気張りすぎれば いずれ心身に支障が出る。,だが、初めから気張りすぎればいずれ心身に支障が出る。
だから…周りを頼ることを忘れるな 必要なら私が手を貸してやる。,だから周りを頼ることを忘れるな必要なら私が手を貸してやる。
…頑張れよ アレイン。,頑張れよアレイン。
プリム、目当てのものは 食べられたのか。,プリム、目当てのものは食べられたのか。
ええ、もちろんよ姉さま ただ…。,ええ、もちろんよ姉さまただ。
ただ、なんだ？。,ただ、なんだ。
お料理に夢中になっていたら 記念硬貨を貰いそびれてしまって…。,お料理に夢中になっていたら記念硬貨を貰いそびれてしまって。
せっかくの記念品なのに、いい匂いの 誘惑に負けたばかりに…反省です。,せっかくの記念品なのに、いい匂いの誘惑に負けたばかりに反省です。
…そんなこともあろうかと、さっき アレインが私に二枚、渡しにきたぞ。,そんなこともあろうかと、さっきアレインが私に二枚、渡しにきたぞ。
ええっ！アレインさまが！？。,ええっアレインさまが。
そこまで見抜かれていたなんて 恥ずかしいです…。,そこまで見抜かれていたなんて恥ずかしいです。
アレイン 戴冠式…見事であった。,アレイン戴冠式見事であった。
これでお互い、正式に 一国を担う王となったわけだな。,これでお互い、正式に一国を担う王となったわけだな。
私は昔…王とはただ一つの玉座で戦う 孤独な使命だと思ったことがある。,私は昔王とはただ一つの玉座で戦う孤独な使命だと思ったことがある。
だが、私にはお前がいる 確かな友情で結ばれたお前がな。,だが、私にはお前がいる確かな友情で結ばれたお前がな。
私は王位を継いでから… いまだ、孤独を感じたことがない。,私は王位を継いでからいまだ、孤独を感じたことがない。
お前のおかげだ…アレイン これからも末永く、よろしく頼むぞ。,お前のおかげだアレインこれからも末永く、よろしく頼むぞ。
…今日は、お前と二人でゆっくりと 語り合いたいところだったが。,今日は、お前と二人でゆっくりと語り合いたいところだったが。
式が終わったあとでも お前は手が空きそうにないか…。,式が終わったあとでもお前は手が空きそうにないか。
臣下たちの手前、あまり 大きな声では言えないが。,臣下たちの手前、あまり大きな声では言えないが。
このまま帰るには…名残惜しくてな。,このまま帰るには名残惜しくてな。
…フッ、その顔 お前も同じ思いのようだな。,フッ、その顔お前も同じ思いのようだな。
その顔が見られて満足した …次は我が国へ来てくれ。,その顔が見られて満足した次は我が国へ来てくれ。
飽きるほどに 精一杯もてなすとしよう。,飽きるほどに精一杯もてなすとしよう。
アレイン 戴冠式…見事であった。,アレイン戴冠式見事であった。
これでお互い、正式に 一国を担う王となったわけだな。,これでお互い、正式に一国を担う王となったわけだな。
私は昔…王とはただ一つの玉座で戦う 孤独な使命だと思ったことがある。,私は昔王とはただ一つの玉座で戦う孤独な使命だと思ったことがある。
だが、私にはお前がいる 確かな友情で結ばれたお前がな。,だが、私にはお前がいる確かな友情で結ばれたお前がな。
私は王位を継いでから… いまだ、孤独を感じたことがない。,私は王位を継いでからいまだ、孤独を感じたことがない。
お前のおかげだ…アレイン これからも末永く、よろしく頼むぞ。,お前のおかげだアレインこれからも末永く、よろしく頼むぞ。
ヴァージニア、次はどこへ 連れていってくれるのだ？。,ァージニア、次はどこへ連れていってくれるのだ。
お前が気に入りそうな酒場がある そこで私と酒戦でもどうだ？。,お前が気に入りそうな酒場があるそこで私と酒戦でもどうだ。
相変わらず、どこへ行っても お前は勝負ばかりだな…。,相変わらず、どこへ行ってもお前は勝負ばかりだな。
いまだ勝率が低いとはいえ お前との勝負に勝つと気分がいい。,いまだ勝率が低いとはいえお前との勝負に勝つと気分がいい。
今回は特に、負ける気がしないな。,今回は特に、負ける気がしないな。
フッ…私も負ける気はないぞ さあ、案内してくれ。,フッ私も負ける気はないぞさあ、案内してくれ。
アタイはさ、外に出たばかりのころは 道を歩けば驚かれるだけだったけど…。,アタイはさ、外に出たばかりのころは道を歩けば驚かれるだけだったけど。
この戴冠式では、誰も彼も みんな笑顔で感謝してくれたんだ。,この戴冠式では、誰も彼もみんな笑顔で感謝してくれたんだ。
アンタと契約して戦って 貢献したからかな。,アンタと契約して戦って貢献したからかな。
今まで強さしか求めてこなかったけど こういうのも悪くないね。,今まで強さしか求めてこなかったけどこういうのも悪くないね。
…中には「お幸せに！」なんて 言葉もあって、照れちまったよ…。,中には「お幸せに」なんて言葉もあって、照れちまったよ。
アンタが王様になったのはいいが…。,アンタが王様になったのはいいが。
これからは剣よりも羽ペンを 持つことの方が多くなりそうだねェ。,これからは剣よりも羽ペンを持つことの方が多くなりそうだねェ。
戦争で散々戦ってきたけど、アンタ 以上に強いヤツなんていやしない。,戦争で散々戦ってきたけど、アンタ以上に強いヤツなんていやしない。
ちゃんと王様するのもいいけどさ たまには手合わせしてくれよ？。,ちゃんと王様するのもいいけどさたまには手合わせしてくれよ。
それにしても、遊び相手がいないと 退屈だね。,それにしても、遊び相手がいないと退屈だね。
強いヤツを探すよりも、闘技場の 連中に稽古つけた方が早いのかねえ。,強いヤツを探すよりも、闘技場の連中に稽古つけた方が早いのかねえ。
って、この考え… 爺ィの血を感じるな。,って、この考え爺ィの血を感じるな。
イヤだイヤだ…。,イヤだイヤだ。
…お前はゼノイラを倒しても 王になっても変わらないな。,お前はゼノイラを倒しても王になっても変わらないな。
契約してから今まで、裏切りなんて 一度たりとも頭をよぎらなかった…。,契約してから今まで、裏切りなんて一度たりとも頭をよぎらなかった。
それどころかお前…会うたびに 私から離れがたくなっているだろう。,それどころかお前会うたびに私から離れがたくなっているだろう。
はぁ… 本当に仕方のないやつだ。,はぁ本当に仕方のないやつだ。
まぁ、それを受け入れた 私も私か…。,まぁ、それを受け入れた私も私か。
出会ったころはこんな子供に 何ができるのかと思ったものだが…。,出会ったころはこんな子供に何ができるのかと思ったものだが。
そう思った自分を恥じるくらいには 大成してくれたな。,そう思った自分を恥じるくらいには大成してくれたな。
…お前がいなければ こんな未来もなかっただろう。,お前がいなければこんな未来もなかっただろう。
私たちをここまで連れてきてくれて 感謝する…アレイン。,私たちをここまで連れてきてくれて感謝するアレイン。
さて…一段落ついたことだし あらためて団を立て直すか。,さて一段落ついたことだしあらためて団を立て直すか。
姉貴…！本当か！？。,姉貴本当か。
三角獣傭兵団、ここに再結成か！ やってやろうぜ、姉御…！。,三角獣傭兵団、ここに再結成かやってやろうぜ、姉御。
二人が戻ってくれたら、バラバラに なったやつらも戻るかもしれねぇし…。,二人が戻ってくれたら、バラバラになったやつらも戻るかもしれねぇし。
ブルーノ…。,ブルーノ。
…ああ、ここから再出発だな。,ああ、ここから再出発だな。
ふ…決まりだな。,ふ決まりだな。
終戦直後でやることも多い… 気合入れていくぞ。,終戦直後でやることも多い気合入れていくぞ。
軍の指揮官、転じて一国の王… お前の運命は背負うものが多すぎる。,軍の指揮官、転じて一国の王お前の運命は背負うものが多すぎる。
だがどちらも、仲間と持てば お前だけが頑張る必要はない。,だがどちらも、仲間と持てばお前だけが頑張る必要はない。
一人で歩もうとするなよ これからも、これまでのようにな。,一人で歩もうとするなよこれからも、これまでのようにな。
アレイン殿の指揮のおかげで、復興も だいぶ進んでおられるようですね。,アレイン殿の指揮のおかげで、復興もだいぶ進んでおられるようですね。
最後の戦いではこの地も 苛酷な様相でございましたが…。,最後の戦いではこの地も苛酷な様相でございましたが。
本来の姿はこれほど 美しい場所だったのですね。,本来の姿はこれほど美しい場所だったのですね。
俺も見習わせていただきます 我が国の町々や砂漠の民のために。,俺も見習わせていただきます我が国の町々や砂漠の民のために。
アラミス殿…ギルベルト陛下とは お話になられましたか？。,アラミス殿ギルベルト陛下とはお話になられましたか。
二言三言ばかりな。,二言三言ばかりな。
あまり長々と話さず 目立たぬようにしたつもりだが。,あまり長々と話さず目立たぬようにしたつもりだが。
…そうでしたか。,そうでしたか。
先ほどギルベルト陛下とお話した際… 大変嬉しそうにしておられましたので。,先ほどギルベルト陛下とお話した際大変嬉しそうにしておられましたので。
フッ お前に隠し事はできないな。,フッお前に隠し事はできないな。
アレイン…あんた昨日から ホント、心配しすぎだよ。,アレインあんた昨日からホント、心配しすぎだよ。
祝いの席なんだし、でかい声で 嫌味を言われたりもしてないから。,祝いの席なんだし、でかい声で嫌味を言われたりもしてないから。
…ったく、元々うっとおしいくらい 気を遣ってくるやつだったけど。,ったく、元々うっとおしいくらい気を遣ってくるやつだったけど。
ゆ、指輪くれてから… ホント過保護になったよな…。,ゆ、指輪くれてからホント過保護になったよな。
別に、嫌じゃないけどさ。,別に、嫌じゃないけどさ。
解放軍に加わって、世界を救う 旅に出るなんて思わなかったな。,解放軍に加わって、世界を救う旅に出るなんて思わなかったな。
はじめはそんな上手くいくかって 思ってたけど…。,はじめはそんな上手くいくかって思ってたけど。
本当にやり遂げちまうんだから あんたはすごいやつだよ。,本当にやり遂げちまうんだからあんたはすごいやつだよ。
大勢の人があんたに救われた… あたしも…その一人だ。,大勢の人があんたに救われたあたしもその一人だ。
その、ありがとな…アレイン。,その、ありがとなアレイン。
ところで兄貴… このあとは砂漠に帰るのか？。,ところで兄貴このあとは砂漠に帰るのか。
いや、ちょうどいい機会だし コルニアに散ってった連中を探すぜ。,いや、ちょうどいい機会だしコルニアに散ってった連中を探すぜ。
探しがてら、各地の復興にも 手を貸そうと思ってる。,探しがてら、各地の復興にも手を貸そうと思ってる。
…なら、あたしも行く。,なら、あたしも行く。
あー…そりゃありがたいけどよ 団のことはどうすんだよ？。,あーそりゃありがたいけどよ団のことはどうすんだよ。
あたしたちが不在の時は オーバンにでも任せとけばいいだろ。,あたしたちが不在の時はオーバンにでも任せとけばいいだろ。
おいおい いいように使うなよ俺を…。,おいおいいいように使うなよ俺を。
…ま、大事なお前らのためだ 一肌脱いでやってもいいぜ。,ま、大事なお前らのためだ一肌脱いでやってもいいぜ。
全部元通りには ならないかもしれないけど…。,全部元通りにはならないかもしれないけど。
それでもあたしはみんなと 前に進んでいくよ。,それでもあたしはみんなと前に進んでいくよ。
…あんたと同じようにね。,あんたと同じようにね。
初めて会った時 本当はすごく怖かったの…。,初めて会った時本当はすごく怖かったの。
神樹の守りは破られていたし エルトリンデも敵に囚われていたから。,神樹の守りは破られていたしエルトリンデも敵に囚われていたから。
…そこへアレインが来てくれた。,そこへアレインが来てくれた。
あら…また照れているの？ これじゃ私から離れられないわね。,あらまた照れているのこれじゃ私から離れられないわね。
思わず引き留めちゃった…。,思わず引き留めちゃった。
ふふ、なんて 思ってたこと言っちゃった。,ふふ、なんて思ってたこと言っちゃった。
戦いが終わって 気が抜けちゃったみたい。,戦いが終わって気が抜けちゃったみたい。
アレイン殿 ご即位お祝い申し上げる。,アレイン殿ご即位お祝い申し上げる。
思い返せば、どの戦場も一筋縄では いかぬものばかりだったが…。,思い返せば、どの戦場も一筋縄ではいかぬものばかりだったが。
万夫不当の君が傍にいたのだ 勝利も必然か。,万夫不当の君が傍にいたのだ勝利も必然か。
…いや、君は並々ならぬ努力で この平和を勝ち取ったのだよな。,いや、君は並々ならぬ努力でこの平和を勝ち取ったのだよな。
我が国のみならず世界をも救った 英雄と契約したこと…。,我が国のみならず世界をも救った英雄と契約したこと。
そして、君の隣で最後まで戦えたこと 一人の戦士として誇りに思う。,そして、君の隣で最後まで戦えたこと一人の戦士として誇りに思う。
感謝する、アレイン殿。,感謝する、アレイン殿。
最後の戦いも素晴らしい指揮だった まさに軍神と呼ぶに相応しい男だ。,最後の戦いも素晴らしい指揮だったまさに軍神と呼ぶに相応しい男だ。
エルヘイムに戻ったら 皆にアレイン殿の話をしよう。,エルヘイムに戻ったら皆にアレイン殿の話をしよう。
大陸に平穏を取り戻した英雄として 幾年先にも伝えられるようにな。,大陸に平穏を取り戻した英雄として幾年先にも伝えられるようにな。
イシリオン、エルヘイムに戻ったら 手合わせをしないか。,イシリオン、エルヘイムに戻ったら手合わせをしないか。
望むところだ 手加減はなしでいくぞ。,望むところだ手加減はなしでいくぞ。
私も負けていられないな 祖国のためにも、さらに強くならねば。,私も負けていられないな祖国のためにも、さらに強くならねば。
アレイン様と契約をした時… 本音を言うと不安な部分もありました。,アレイン様と契約をした時本音を言うと不安な部分もありました。
貴方が守らねばならないのは 国…そして世界…。,貴方が守らねばならないのは国そして世界。
たった一人の主の護衛もままなら なかった俺に、その役目が務まるかと。,たった一人の主の護衛もままならなかった俺に、その役目が務まるかと。
しかし…そんな不安を俺に感じさせぬ ほど、貴方は前へと導いてくれました。,しかしそんな不安を俺に感じさせぬほど、貴方は前へと導いてくれました。
未だ実感は湧きませんが…。,未だ実感は湧きませんが。
共に平和を勝ち取ることができて 嬉しい限りです。,共に平和を勝ち取ることができて嬉しい限りです。
俺を頼りにしてくださって ありがとうございます…アレイン様。,俺を頼りにしてくださってありがとうございますアレイン様。
思い返せば、森の外の風景は俺に とって、はじめてのものばかりでした。,思い返せば、森の外の風景は俺にとって、はじめてのものばかりでした。
どの景色も素晴らしいものでしたが ここからの眺めも見事です。,どの景色も素晴らしいものでしたがここからの眺めも見事です。
これは貴方がいたから 見られた景色なのでしょう。,これは貴方がいたから見られた景色なのでしょう。
アレイン様、感謝いたします。,アレイン様、感謝いたします。
ロザリンデ様に自由にしていいと 言われたが、何をすればいいんだ…。,ロザリンデ様に自由にしていいと言われたが、何をすればいいんだ。
それなら私と町へ行こう イシリオン。,それなら私と町へ行こうイシリオン。
せっかく招待してもらったのだ 存分に楽しまなければな。,せっかく招待してもらったのだ存分に楽しまなければな。
あんたと町へ出るなんて久しぶりだな わかった、行こう。,あんたと町へ出るなんて久しぶりだなわかった、行こう。
アレイン様 戴冠式のお姿、本当に素敵でした。,アレイン様戴冠式のお姿、本当に素敵でした。
今まで童話の中で見てきた どんな王子様よりも、ずっと…。,今まで童話の中で見てきたどんな王子様よりも、ずっと。
あっ…、ごめんなさい 今はもう王様…でしたね。,あっ、ごめんなさい今はもう王様でしたね。
これからも王妃として、一番近くで 貴方のお傍にいさせてください。,これからも王妃として、一番近くで貴方のお傍にいさせてください。
グランコリヌ城…想像より ずっと大きなお城で驚きました。,グランコリヌ城想像よりずっと大きなお城で驚きました。
大通りも賑やかで 本で見るより遥かに広い…。,大通りも賑やかで本で見るより遥かに広い。
アレイン様、次は 案内していただいてもよろしいですか。,アレイン様、次は案内していただいてもよろしいですか。
ギャメルさん 嬉しそうに歩いていきました。,ギャメルさん嬉しそうに歩いていきました。
岩陰に隠れて 何をしているのでしょう？。,岩陰に隠れて何をしているのでしょう。
少し休憩中です 楽しくてはしゃぎすぎてしまいました。,少し休憩中です楽しくてはしゃぎすぎてしまいました。
ふふ、でもすぐに戻るつもりです 次はお花屋さんを見てみましょうか…。,ふふ、でもすぐに戻るつもりです次はお花屋さんを見てみましょうか。
さっき俺宛てに便りがあった 妹が会いたいってよ。,さっき俺宛てに便りがあった妹が会いたいってよ。
驚いたぜ、元気だとは聞いてたが 物まで書けるようになったとはな。,驚いたぜ、元気だとは聞いてたが物まで書けるようになったとはな。
こっちも驚かせてやるか 王様と一緒に戦ってきたってな。,こっちも驚かせてやるか王様と一緒に戦ってきたってな。
マンドラン、俺は復興に手を貸すが お前もどうだ？。,マンドラン、俺は復興に手を貸すがお前もどうだ。
ついてくぜ 当たり前だろ？。,ついてくぜ当たり前だろ。
ヒヒ、それじゃ 人を集めて再出発だ。,ヒヒ、それじゃ人を集めて再出発だ。
すまねぇな、アレインの旦那 騒がしいのは苦手でよ。,すまねぇな、アレインの旦那騒がしいのは苦手でよ。
隅っこからだが 旦那のことは祝わせてもらうぜ。,隅っこからだが旦那のことは祝わせてもらうぜ。
くく、野草食ってたお前が 晴れて王様になったってわけか。,くく、野草食ってたお前が晴れて王様になったってわけか。
今後は野草食う機会もねえだろうが あれは結構、いい思い出なんだよな。,今後は野草食う機会もねえだろうがあれは結構、いい思い出なんだよな。
何度思い返しても笑っちまうぜ どんだけ真面目で真っすぐなんだよ…。,何度思い返しても笑っちまうぜどんだけ真面目で真っすぐなんだよ。
…ま、俺もそういうとこにやられて 指輪受け取っちまったんだけどな。,ま、俺もそういうとこにやられて指輪受け取っちまったんだけどな。
俺との契約、破ってくれるなよ これからも期待してるぜ…親友。,俺との契約、破ってくれるなよこれからも期待してるぜ親友。
お前が俺やギャメルを 受け入れたこと…心底驚いたぜ。,お前が俺やギャメルを受け入れたこと心底驚いたぜ。
とんだ甘ちゃんだってな。,とんだ甘ちゃんだってな。
だが、そんなお前にここまで ついてきて思っちまったのさ。,だが、そんなお前にここまでついてきて思っちまったのさ。
お前の目指す先…それが見たい これからも俺に協力させてくれ。,お前の目指す先それが見たいこれからも俺に協力させてくれ。
どうしたんだ、ギャメル いつにも増して嬉しそうな顔してんな。,どうしたんだ、ギャメルいつにも増して嬉しそうな顔してんな。
旦那の戴冠式だ 喜んで当たり前だろ？。,旦那の戴冠式だ喜んで当たり前だろ。
いや、違うな そういう喜び方って感じじゃねえ。,いや、違うなそういう喜び方って感じじゃねえ。
なんだよ？ 俺にも教えろよ。,なんだよ俺にも教えろよ。
慈悲深く手を差し伸べる姿に惹かれ 皆、アレイン様についてきました。,慈悲深く手を差し伸べる姿に惹かれ皆、アレイン様についてきました。
私もその一人です。,私もその一人です。
皆の光となり導いていただき ありがとうございます。,皆の光となり導いていただきありがとうございます。
その光が永久に続きますように… そう心から祈っています。,その光が永久に続きますようにそう心から祈っています。
ウメルス様は 今後どうなさるのですか？。,ウメルス様は今後どうなさるのですか。
見れば心が安らぐ…そんな花園が 作れるよう、頑張りますね。,見れば心が安らぐそんな花園が作れるよう、頑張りますね。
…陛下は私の前では無理しないことを 頑張ると言ってくださいました。,陛下は私の前では無理しないことを頑張ると言ってくださいました。
ですから、私に何も言わないのは 陛下がご無理をしていないから…。,ですから、私に何も言わないのは陛下がご無理をしていないから。
それはとても嬉しいんです。,それはとても嬉しいんです。
もしよろしければ、完成したとき 私もお尋ねしてよろしいでしょうか？。,もしよろしければ、完成したとき私もお尋ねしてよろしいでしょうか。
穏やかな風ですね アレイン様の心を映したようです。,穏やかな風ですねアレイン様の心を映したようです。
